claim_id,paper_location,claim,evidence_type,evidence_path,verification,status
Q1-PARAM,假设和模型,几何初值及附录2参数,题面,A题/A题.pdf,前轮原PDF第1和3页图像核对;与代码核对,已验证
Q1-ENV,模型环境输入,每60秒环境输入线性插值且第一问不外推,原始数据与代码,q1_complete_delivery/q1_delivery/input/附件1.xlsx,原始工作簿及独立解析与运行输入比对,已验证
Q1-MODEL,控制方程,固定圆柱散度形式D(C)和Robin边界,独立推导与代码,q1_complete_delivery/q1_delivery/source/q1_solver.py,守恒推导与独立审稿,已验证
Q1-FV,有限体积求解,中心系数4与表面半控制体,独立推导与代码,q1_complete_delivery/q1_delivery/source/q1_solver.py,积分推导与实际实现一致,已验证
Q1-TABLES,摘要和两张结果表,70个规定数值及末时温差3.2102K,正式数值,q1_complete_delivery/q1_delivery/output/q1_unrounded.npz,图表脚本逐格核对正式CSV;最终PDF提取核对,已验证
Q1-FIELDS,两张结果图,1800秒内时间响应与径向分布,正式数值,paper/evidence/asset_manifest.json,源哈希与10241网格快照输出节点交叉核验,已验证
Q1-AVERAGE,结果分析,中截面面积加权平均温度35.1679与含水率2.2936,正式数值,q1_complete_delivery/q1_delivery/output/q1_unrounded.npz,读取求解控制体权重所得平均字段,已验证
Q1-SCALES,摘要和时间尺度,扩散时间2368.89和81010.11秒及比值34.20,题给参数推导,paper/evidence/asset_manifest.json,统一使用R平方除扩散率;独立核算,已验证
Q1-2D,问题分析,中截面二维热与径向解约1e-7K量级差异,数值对照,review_q1_20260910/reproduced/validation/validation.json,核对二维模态与自身截断变化;只限规定采样点,已验证
Q1-TIME,数值验证,时间控制收紧后温度5.0323e-10和水分8.1504e-11的差异,运行记录,review_q1_20260910/reproduced/validation/validation.json,正式N10240网格固定后的时间复算,已验证
Q1-HEAT-INDEP,数值验证,贝塞尔参考温度最大差7.2902e-9K,独立复算,review_q1_20260910/independent_heat/heat_audit.json,独立数据解析与模态精确时间推进,已验证
Q1-MASS-INDEP,数值验证,不同空间实现含水率最大差1.520649e-6,独立空间复算,review_q1_20260910/reproduced/validation/validation.json,240阶配点对照;时间仍BDF另作时间精度控制,已验证
Q1-ROUND,摘要与数值验证,全部75600项四位显示与独立参考一致,逐值比对,review_q1_20260910/reproduced/validation/validation.json,结合heat_audit中37800个温度值,已验证
Q1-SENS,敏感性,同N1280网格的hm扰动和PCHIP响应差,确定性情景,review_q1_20260910/reproduced/validation/validation.json,独立代理读取敏感性NPZ并重算差;限制为输出采样点,已验证
Q1-LATENT,物理适用边界,条件性潜热与显热比约9.50,条件诊断,q1_physical_review_evidence/calculations/physical_audit.json,额外初始湿密度和全部失水蒸发解释下核算,已验证
Q1-DEW,物理适用边界,条件性露点33.3008度与11.90度诊断温度不支持持续净蒸发,条件诊断,review_q1_20260910/pro_acceptance/acceptance.json,完整气相假设;露点独立求根与原计算一致,已验证
Q1-SHRINK,物理适用边界,前1800秒半径下降6.35%与固定长度体积下降12.30%,附件几何数据,review_q1_20260910/pro_acceptance/acceptance.json,原附件2完整ZIPCRC及前两条记录核验;不称预测误差,已验证
Q1-RADIATION,物理适用边界,黑体腔体情景中心和表面增加0.6044与0.8095K,条件情景复算,review_q1_20260910/pro_acceptance/acceptance.json,同网格比较;Radau与BDF及320到640网格核对,已验证
